2017-12-09 18:55:57 status unpacked mount:armhf 2.29.2-1
2017-12-09 18:55:57 status unpacked mount:armhf 2.29.2-1
2017-12-09 18:55:57 install util-linux:armhf <none> 2.29.2-1
2017-12-09 18:55:57 status half-installed util-linux:armhf 2.29.2-1
2017-12-09 18:55:58 status unpacked util-linux:armhf 2.29.2-1
2017-12-09 18:55:58 status unpacked util-linux:armhf 2.29.2-1
2017-12-09 18:55:58 install liblzma5:armhf <none> 5.2.2-1.2+b1
2017-12-09 18:55:58 status half-installed liblzma5:armhf 5.2.2-1.2+b1
2017-12-09 18:55:59 status unpacked liblzma5:armhf 5.2.2-1.2+b1
2017-12-09 18:55:59 status unpacked liblzma5:armhf 5.2.2-1.2+b1
2017-12-09 18:56:00 install zlib1g:armhf <none> 1:1.2.8.dfsg-5
2017-12-09 18:56:00 status half-installed zlib1g:armhf 1:1.2.8.dfsg-5
2017-12-09 18:56:00 status unpacked zlib1g:armhf 1:1.2.8.dfsg-5
2017-12-09 18:56:00 status unpacked zlib1g:armhf 1:1.2.8.dfsg-5
2017-12-09 18:56:00 startup packages configure
2017-12-09 18:56:00 configure gcc-6-base:armhf 6.3.0-18 <none>
2017-12-09 18:56:00 status unpacked gcc-6-base:armhf 6.3.0-18
2017-12-09 18:56:00 status half-configured gcc-6-base:armhf 6.3.0-18
